Table_ID,Page,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table_3,3,and performance,,,,,,,,,,,,,,,,,,
Table_4,4,"Chairman and CEO’s message
Sustainability-related targets",,,,,,,,,,,,,,,,,,
Table_4,4,and performance,,,,,,,,,,,,,,,,,,
Table_4,4,Welcome to CLPʼs 2023,,,,,,,,,,,,,,,,,,
Table_4,4,Sustainability Report,,,,,,,,,,,,,,,,,,
Table_4,4,The year 2023 was a time of gradual recovery from the shocks of COVID-19. Yet turbulence,,,,,,,,,,,,,,,,,,
Table_4,4,,"continued in the form of an unsettled economic outlook, complex global trade relationships, and",,,,,,,,,,,,,,,,,
Table_4,4,geopolitical tensions in Ukraine and the Middle East.,,,,,,,,,,,,,,,,,,
Table_4,4,These uncertainties have highlighted the importance of,"On this basis, financially material topics and associated risks",,,,,,,,,,,,,,,,,
Table_4,4,preparedness for disruptions and the need to seize,and opportunities that could reasonably be expected to affect,,,,,,,,,,,,,,,,,
Table_4,4,"opportunities that could arise in the short, medium or long","the Company’s prospects are discussed in the Annual Report,",,,,,,,,,,,,,,,,,
Table_4,4,"term. On a positive note, the energy sector received some good",while impact material topics relating to positive or negative,,,,,,,,,,,,,,,,,
Table_4,4,"news as international fuel prices softened from their peak,","impacts on people, the environment and the economy are",,,,,,,,,,,,,,,,,
Table_4,4,alleviating fuel cost pressures. Energy transition has remained,covered in this Sustainability Report.,,,,,,,,,,,,,,,,,
Table_4,4,a key item on the global agenda with governments being urged,,,,,,,,,,,,,,,,,,
Table_4,4,to translate their commitments to carbon-neutrality by the,"In light of growing concern for nature conservation, CLP",,,,,,,,,,,,,,,,,
Table_4,4,mid-21st century into actions.,dedicates a chapter in this report to discussing nature-related,,,,,,,,,,,,,,,,,
Table_4,4,,topics and with reference to the final recommendations of,,,,,,,,,,,,,,,,,
Table_4,4,"In the third year of adopting the double materiality approach,",the Task Force on Nature-related Financial Disclosures (TNFD),,,,,,,,,,,,,,,,,
Table_4,4,CLP continued to assess its business sustainability from,published in September 2023. CLP has continued to adopt a,,,,,,,,,,,,,,,,,
Table_4,4,both the financial and impact perspectives. In re-examining,"stakeholder-centric approach, highlighting how CLP manages",,,,,,,,,,,,,,,,,
Table_4,4,"its material topics, CLP took further steps by developing","the interests of its customers, people, partners and the wider",,,,,,,,,,,,,,,,,
Table_4,4,"a systematic portfolio of its sustainability-related impacts,",community from their perspectives.,,,,,,,,,,,,,,,,,
Table_4,4,risks and opportunities (IROs) described at a higher level,,,,,,,,,,,,,,,,,,
Table_4,4,"of granularity than previously. In particular, the approach","In 2023, CLP also conducted a review of its Climate Vision",,,,,,,,,,,,,,,,,
Table_4,4,"to define, assess and address these risks and opportunities","2050, with the aim of further accelerating its transition to a",,,,,,,,,,,,,,,,,
Table_4,4,were largely adopted from the latest International Financial,net-zero future. Climate-related disclosures are integrated,,,,,,,,,,,,,,,,,
Table_4,4,Reporting Standards (IFRS) S1 – General Requirements for,into the latest edition of the CLP's Climate Vision 2050:,,,,,,,,,,,,,,,,,
Table_4,4,Disclosure of Sustainability-related Financial Information,"Powering an orderly transition and in the Annual Report,",,,,,,,,,,,,,,,,,
Table_4,4,issued in June 2023. This transparent and up-to-date,in which the disclosures make reference to ISSB's IFRS S2,,,,,,,,,,,,,,,,,
Table_4,4,"assessment of its sustainability-related IROs, when combined",Climate-related Disclosures.,,,,,,,,,,,,,,,,,
Table_4,4,"with appropriate management measures, enables CLP to",,,,,,,,,,,,,,,,,,
Table_4,4,ensure that its strategy is purpose-aligned and adaptable in an,This report aims to provide insightful and informative,,,,,,,,,,,,,,,,,
Table_4,4,ever-changing business landscape.,"perspectives, offering a balanced view of CLP's sustainability",,,,,,,,,,,,,,,,,
Table_4,4,,efforts. Feedback on this report is welcome and can be,,,,,,,,,,,,,,,,,
Table_4,4,,shared through CLP’s online survey form or via email,,,,,,,,,,,,,,,,,
Table_4,4,,at srfeedback@clp.com.hk.,,,,,,,,,,,,,,,,,
Table_5,5,Welcome,About this Report,Approach to,Our Sustainability,Respecting Nature,Serving Our,ESG Data & GHG,,,,,,,,,,,,
Table_5,5,,,Sustainability,Agenda,,Stakeholders,Methodology,,,,,,,,,,,,
Table_5,5,Welcome to CLPʼs 2023,Chairman and CEO’s message,Sustainability-related targets,,,,,,,,,,,,,,,,
Table_5,5,Sustainability Report,,and performance,,,,,,,,,,,,,,,,
Table_6,6,"The Honourable Sir Michael Kadoorie, Chairman, and T.K. Chiang, Chief Executive Officer",,,,,,,,,,,,,,,,,,
Table_6,6,CLP is standing at the threshold of a transformative era. As,climate goal of limiting global warming to 1.5°C while also,,,,,,,,,,,,,,,,,
Table_6,6,"we move into 2024, we remain resolute in our mission for",taking into account our operating context. This reflects our,,,,,,,,,,,,,,,,,
Table_6,6,"an orderly transition to a net-zero future, while ensuring we",efforts to increase our pace of transition between now and,,,,,,,,,,,,,,,,,
Table_6,6,maintain a secure and reliable energy supply. We also remain,2030. We also pledged to maintain our prior targets and,,,,,,,,,,,,,,,,,
Table_6,6,"committed to empowering a future-ready workforce, and to",commitments including phasing out coal before 2040. Our,,,,,,,,,,,,,,,,,
Table_6,6,delivering cutting-edge energy solutions that will meet the,strategy is in line with the declaration from the COP28,,,,,,,,,,,,,,,,,
Table_6,6,evolving needs of our customers and drive positive change in,international climate talks to transition away from fossil fuels.,,,,,,,,,,,,,,,,,
Table_6,6,the communities where we operate.,,,,,,,,,,,,,,,,,,
Table_6,6,,"In 2023, we further lowered our GHG emissions intensity",,,,,,,,,,,,,,,,,
Table_6,6,Transitioning to net zero,and continued to expand our renewable energy portfolio. By,,,,,,,,,,,,,,,,,
Table_6,6,,"2030, we envision a CLP Group portfolio which entails around",,,,,,,,,,,,,,,,,
Table_6,6,Decarbonisation stands as the foremost priority for our,"60% of non-carbon power generation and energy storage,",,,,,,,,,,,,,,,,,
Table_6,6,"business and Climate Vision 2050, our blueprint for achieving","reducing coal down to approximately 20%, subject to market",,,,,,,,,,,,,,,,,
Table_6,6,"net-zero greenhouse gas emissions (GHG) by mid-century,",and regulatory developments. This will be a significant shift,,,,,,,,,,,,,,,,,
Table_6,6,"remains the cornerstone of our strategy. In 2023, we",for CLP.,,,,,,,,,,,,,,,,,
Table_6,6,embarked on a review to make sure that this blueprint stays,,,,,,,,,,,,,,,,,,
Table_6,6,aligned with developments in the business as well as the,EnergyAustralia announced its inaugural Climate Transition,,,,,,,,,,,,,,,,,
Table_6,6,external risks and uncertainties we face.,"Action Plan (CTAP) in August 2023, including a new",,,,,,,,,,,,,,,,,
Table_6,6,,commitment to work with partners to expand its renewable,,,,,,,,,,,,,,,,,
Table_6,6,We have decided to strengthen our 2030 GHG emissions,portfolio with up to 3GW to be committed or operational by,,,,,,,,,,,,,,,,,
Table_6,6,intensity target to more closely align with the international,"2030. In India, Apraava Energy's Scope 1 and 2 GHG emissions",,,,,,,,,,,,,,,,,
Table_7,7,intensity reduction target was validated by the Science Based,As extreme weather events are becoming more frequent,,,,,,,,,,,,,,,,,
Table_7,7,"Targets initiative (SBTi), aligning with the goal of limiting global","and severe because of global warming, CLP remains focused",,,,,,,,,,,,,,,,,
Table_7,7,warming to 1.5°C above pre-industrial levels.,on strengthening our generation and transmission network,,,,,,,,,,,,,,,,,
Table_7,7,,reliability and resilience. We have also taken the opportunity,,,,,,,,,,,,,,,,,
Table_7,7,"In line with the latest developments at COP28, we also",to review our climate resilience as part of CLP’s Climate,,,,,,,,,,,,,,,,,
Table_7,7,recognise the indispensable role of nuclear energy in fulfilling,Vision 2050 update. Our efforts in assessing and adapting to,,,,,,,,,,,,,,,,,
Table_7,7,"the objective of aligning with a 1.5°C pathway. Looking ahead,",climate-related physical risks have been cascaded from the,,,,,,,,,,,,,,,,,
Table_7,7,we will continue to engage Government and explore the,Group level to our individual assets.,,,,,,,,,,,,,,,,,
Table_7,7,import of more nuclear and renewable energy for the Hong,,,,,,,,,,,,,,,,,,
Table_7,7,Kong grid.,Empowering a future-ready workforce,,,,,,,,,,,,,,,,,
Table_7,7,Tapping into growth opportunities,"In response to the changing business environment, it is critical",,,,,,,,,,,,,,,,,
Table_7,7,,for us to upskill and reskill our people so that we are ready,,,,,,,,,,,,,,,,,
Table_7,7,"As the energy sector undergoes transformative changes,",for change. We also need to ensure a strong pipeline of talent,,,,,,,,,,,,,,,,,
Table_7,7,we are embracing innovation and adopting advanced,to meet our needs. As part of our holistic approach in talent,,,,,,,,,,,,,,,,,
Table_7,7,technologies to meet the evolving energy needs of our,"development, we invest tremendous resources to support the",,,,,,,,,,,,,,,,,
Table_7,7,"customers and the wider community. In Hong Kong, we were",professional growth of our people and generate the interest,,,,,,,,,,,,,,,,,
Table_7,7,pleased with the Hong Kong SAR Government’s approval of,of students and young people in pursuing careers in power,,,,,,,,,,,,,,,,,
Table_7,7,"our five-year Development Plan, a milestone agreement that","engineering. We have an established, long-term strategy to",,,,,,,,,,,,,,,,,
Table_7,7,fortifies our commitment to meeting the energy demands,"cultivate in them a powerful sense of belonging, trust and",,,,,,,,,,,,,,,,,
Table_7,7,"essential for the city’s long-term development. In the plan, we",cooperation combined with the leadership skills to carry our,,,,,,,,,,,,,,,,,
Table_7,7,have committed ourselves to a range of investments designed,business forward.,,,,,,,,,,,,,,,,,
Table_7,7,"to bolster economic growth, support ongoing decarbonisation",,,,,,,,,,,,,,,,,,
Table_7,7,"and reinforce Hong Kong’s position as a smart, vibrant and","As we reflect on the year 2023, we are proud of the",,,,,,,,,,,,,,,,,
Table_7,7,resilient city.,progress we have made as a company and of the unwavering,,,,,,,,,,,,,,,,,
Table_7,7,,commitment we have shown to creating positive impacts.,,,,,,,,,,,,,,,,,
Table_7,7,We are also accelerating the provision of a wide range of,"Looking ahead, the principal priority for our business is",,,,,,,,,,,,,,,,,
Table_7,7,integrated Energy-as-a-Service (EaaS) solutions to customers,decarbonisation. The journey towards energy transition,,,,,,,,,,,,,,,,,
Table_7,7,in Hong Kong and the Guangdong-Hong Kong-Macao Greater,demands bold action. We are aware of the challenges that,,,,,,,,,,,,,,,,,
Table_7,7,Bay Area (GBA). CLP achieved a milestone in corporate,lie before us and will capitalise on the emerging opportunities.,,,,,,,,,,,,,,,,,
Table_7,7,partnerships by signing a strategic cooperation framework,"Guided by our updated Climate Vision 2050, we will continue",,,,,,,,,,,,,,,,,
Table_7,7,"agreement with Shui On Xintiandi, in which CLP will supply",to work tirelessly to shape a future where sustainable energy,,,,,,,,,,,,,,,,,
Table_7,7,renewable energy from Yangzhou Gongdao Solar Power,and a thriving community go hand in hand.,,,,,,,,,,,,,,,,,
Table_7,7,Station to Shui On's Nanjing International Finance Center,,,,,,,,,,,,,,,,,,
Table_7,7,commercial and office complex through a 10-year power,,,,,,,,,,,,,,,,,,
Table_7,7,purchase agreement. It marked CLP's first medium to long-,,,,,,,,,,,,,,,,,,
Table_7,7,term agreement of its kind in Mainland China.,,,,,,,,,,,,,,,,,,
Table_7,7,,The Honourable Sir Michael Kadoorie,,,,,,,,,,,,,,,,,
Table_7,7,,Chairman,,,,,,,,,,,,,,,,,
Table_7,7,Ensuring a secure energy supply,,,,,,,,,,,,,,,,,,
Table_7,7,In our role as an engine powering the community and,,,,,,,,,,,,,,,,,,
Table_7,7,"the economy, CLP is committed to ensuring a secure and",,,,,,,,,,,,,,,,,,
Table_7,7,"reliable energy supply. In Hong Kong, we have made strategic",T.K. Chiang,,,,,,,,,,,,,,,,,
Table_7,7,investments in additional capacity at our Black Point Power,Chief Executive Officer,,,,,,,,,,,,,,,,,
Table_7,7,"Station and in the city’s first offshore LNG terminal, helping",,,,,,,,,,,,,,,,,,
Table_7,7,to secure a competitively priced gas supply for our transition,"Hong Kong, 26 February 2024",,,,,,,,,,,,,,,,,
Table_7,7,away from coal.,,,,,,,,,,,,,,,,,,
Table_7,7,"In Australia, the 350MW Wooreen Energy Storage System",,,,,,,,,,,,,,,,,,
Table_7,7,"was approved by Victoria’s State Government in 2023, which",,,,,,,,,,,,,,,,,,
Table_7,7,will contribute to securing the area’s energy supply with,,,,,,,,,,,,,,,,,,
Table_7,7,additional renewable energy prior to the retirement of,,,,,,,,,,,,,,,,,,
Table_7,7,Yallourn Power Station.,,,,,,,,,,,,,,,,,,
Table_8,8,and performance,,,,,,,,,,,,,,,,,,
Table_8,8,Sub-Category,Targets,Performance in 2023,,,,,,,,,,,,,,,,
Table_8,8,Governance,,,,,,,,,,,,,,,,,,
Table_8,8,Corruption,,On track,,,,,,,,,,,,,,,,
Table_8,8,,Zero convicted cases of corruption reported to Audit and Risk Committee,,,,,,,,,,,,,,,,,
Table_8,8,,for female Directors,,,,,,,,,,,,,,,,,
Table_8,8,Diversity and,Maintain Board diversity,33%,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,inclusion,"representation
30%
with a target of",,,,,,,,,,,,,,,,,
Table_8,8,People,,,,,,,,,,,,,,,,,,
Table_8,8,Diversity  and,,29%  (    7% vs 2016 baseline),,,,,,,,,,,,,,,,
Table_8,8,,Achieve gender balance in leadership positions by 2030,,,,,,,,,,,,,,,,,
Table_8,8,inclusion,,,,,,,,,,,,,,,,,,
Table_8,8,,Achieve 30% of engineers to be female by 2030,13%  (    4% vs 2016 baseline),,,,,,,,,,,,,,,,
Table_8,8,,Ensure equal pay for work of equal value is maintained in all CLP,On track,,,,,,,,,,,,,,,,
Table_8,8,,businesses,,,,,,,,,,,,,,,,,
Table_8,8,Environment,,,,,,,,,,,,,,,,,,
Table_8,8,Air Emissions,Nitrogen oxide:,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,50%  by 2030,29%  vs. 2021 baseline,,,,,,,,,,,,,,,,
Table_8,8,,Sulphur dioxide:,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,55%  by 2030,23%  vs. 2021 baseline,,,,,,,,,,,,,,,,
Table_8,8,,Particulate,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,"90%  by 2030
matters:",12%  vs. 2021 baseline,,,,,,,,,,,,,,,,
Table_8,8,Waste,Waste products¹:,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,70%  by 2030,71%  vs. 2021 baseline,,,,,,,,,,,,,,,,
Table_8,8,Water,Freshwater,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,"85%  by 2030
consumption:",71%  vs. 2021 baseline,,,,,,,,,,,,,,,,
Table_8,8,Climate Change,,,,,,,,,,,,,,,,,,
Table_8,8,,GHG emission,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,"59%  to 0.26kg CO₂e/kWh by 2030
intensity2 :",14%  vs. 2019 baseline,,,,,,,,,,,,,,,,
Table_8,8,,Absolute Scope,,,,,,,,,,,,,,,,,
Table_8,8,,,,,,,,,,,,,,,,,,,
Table_8,8,,"3 (Category 11) 
28%  by 2030",27% vs. 2019 baseline,,,,,,,,,,,,,,,,
Table_8,8,,GHG emissions3,,,,,,,,,,,,,,,,,
Table_8,8,,Maintain commitment to phase out coal-based assets before 2040,On track,,,,,,,,,,,,,,,,
Table_8,8,,Achieve net-zero GHG emissions across our value chain by 2050,On track,,,,,,,,,,,,,,,,
Table_8,8,Customer,,,,,,,,,,,,,,,,,,
Table_8,8,Digitalisation,,Around 80% of all smart,,,,,,,,,,,,,,,,
Table_8,8,,Achieve 100% smart meters installation for CLP Power's residential,,,,,,,,,,,,,,,,,
Table_8,8,,and small-to-medium enterprise (SME) customers by 2025,meters were connected for,,,,,,,,,,,,,,,,
Table_8,8,,,CLP Power’s residential and,,,,,,,,,,,,,,,,
Table_9,9,Welcome,About this Report,Approach to,Our Sustainability,"Respecting Nature
Serving Our",ESG Data & GHG,,,,,,,,,,,,,
Table_9,9,,,Sustainability,Agenda,Stakeholders,Methodology,,,,,,,,,,,,,
Table_9,9,,,,,About this Report,,,,,,,,,,,,,,
Table_9,9,,,,,Reporting frameworks and,10,,,,,,,,,,,,,
Table_9,9,,,,,content indices,,,,,,,,,,,,,,
Table_9,9,,,,,Reporting scope and data verification,12,,,,,,,,,,,,,
Table_10,10,international best practice.,,,,,,,,,,,,,,,,,,
Table_10,10,,Download the SASB Content Index for Electric,,,,,,,,,,,,,,,,,
Table_10,10,,Utilities & Power Generators,,,,,,,,,,,,,,,,,
Table_10,10,The International Sustainability Standards Board,,,,,,,,,,,,,,,,,,
Table_10,10,(ISSB)'s International Financial Reporting Standards,,,,,,,,,,,,,,,,,,
Table_10,10,,The ISSB's IFRS S2 Climate-related Disclosures,,,,,,,,,,,,,,,,,
Table_10,10,(IFRS) S1 General Requirements for Disclosure of,,,,,,,,,,,,,,,,,,
Table_10,10,Sustainability-related Financial Information,,,,,,,,,,,,,,,,,,
Table_10,10,,The ISSB’s new IFRS S2 standards build on existing,,,,,,,,,,,,,,,,,
Table_10,10,,frameworks and incorporate various leading initiatives such,,,,,,,,,,,,,,,,,
Table_10,10,"In June 2022, the investor-focused sustainability disclosure",,,,,,,,,,,,,,,,,,
Table_10,10,,"as Integrated Reporting (IR), the Sustainability Accounting",,,,,,,,,,,,,,,,,
Table_10,10,organisation the Climate Disclosure Standard Board (CDSB),,,,,,,,,,,,,,,,,,
Table_10,10,,"Standards Board (SASB), the Climate Disclosure Standards",,,,,,,,,,,,,,,,,
Table_10,10,and the Value Reporting Foundation (VRF) (created from,,,,,,,,,,,,,,,,,,
Table_10,10,,"Board (CDSB), and the recommendations by the Task Force on",,,,,,,,,,,,,,,,,
Table_10,10,the merger of the International Integrated Reporting Council,,,,,,,,,,,,,,,,,,
Table_10,10,,Climate-Related Financial Disclosures (TCFD).,,,,,,,,,,,,,,,,,
Table_10,10,(IIRC) and the Sustainability Accounting Standards Board,,,,,,,,,,,,,,,,,,
Table_10,10,"(SASB)) were consolidated into the IFRS Foundation, to",,,,,,,,,,,,,,,,,,
Table_10,10,,CLP referenced the ISSB’s Climate-related Disclosures,,,,,,,,,,,,,,,,,
Table_10,10,support the development of new ISSB standards. In June,,,,,,,,,,,,,,,,,,
Table_10,10,,"Prototype in its 2021 Climate-related Disclosures Report, and",,,,,,,,,,,,,,,,,
Table_10,10,"2023, the ISSB under IFRS issued two inaugural Sustainability",,,,,,,,,,,,,,,,,,
Table_10,10,,"the IFRS S2 Exposure Draft in its 2022 edition. In 2023, CLP",,,,,,,,,,,,,,,,,
Table_10,10,"Disclosure Standards, IFRS S1 –General Requirements for",,,,,,,,,,,,,,,,,,
Table_10,10,,has continued to enhance its climate-related disclosures by,,,,,,,,,,,,,,,,,
Table_10,10,"Disclosure of Sustainability-related Financial Information, and",,,,,,,,,,,,,,,,,,
Table_10,10,,making reference to the IFRS S2 standards when describing its,,,,,,,,,,,,,,,,,
Table_10,10,IFRS S2 – Climate-related Disclosures. These standards have,,,,,,,,,,,,,,,,,,
Table_10,10,,"responses to relevant climate-related risks and opportunities,",,,,,,,,,,,,,,,,,
Table_10,10,already been endorsed by the International Organisation of,,,,,,,,,,,,,,,,,,
Table_10,10,,and providing annual updates and quantitative metrics in its,,,,,,,,,,,,,,,,,
Table_10,10,Securities Commissions (IOSCO) and have received strong,,,,,,,,,,,,,,,,,,
Table_10,10,,Annual Report. By integrating its Climate-related Disclosures,,,,,,,,,,,,,,,,,
Table_10,10,"support from a number of jurisdictions, including Australia,",,,,,,,,,,,,,,,,,,
Table_10,10,,"Report into the Annual Report, CLP is further aligning",,,,,,,,,,,,,,,,,
Table_10,10,"China, Canada, Japan, Hong Kong, Malaysia, New Zealand,",,,,,,,,,,,,,,,,,,
Table_10,10,,"itself with the integrated reporting principle. In addition, a",,,,,,,,,,,,,,,,,
Table_10,10,"Nigeria, Singapore, and the UK. They are expected to inform",,,,,,,,,,,,,,,,,,
Table_10,10,,comprehensive climate transition plan titled CLP's Climate,,,,,,,,,,,,,,,,,
Table_10,10,and accelerate the development of sustainability-related,,,,,,,,,,,,,,,,,,
Table_10,10,,Vision 2050: Powering an orderly transition is published at the,,,,,,,,,,,,,,,,,
Table_10,10,regulatory initiatives globally.,,,,,,,,,,,,,,,,,,
Table_10,10,,same time in March 2024.,,,,,,,,,,,,,,,,,
Table_10,10,"In response to these new IFRS standards, CLP in its 2023",,,,,,,,,,,,,,,,,,
Table_10,10,,"In October 2023, the Task Force on Climate-related Financial",,,,,,,,,,,,,,,,,
Table_10,10,Annual Report has disclosed information about sustainability-,,,,,,,,,,,,,,,,,,
Table_10,10,,"Disclosures (TCFD) announced that it had disbanded, having",,,,,,,,,,,,,,,,,
Table_10,10,related risks and opportunities that could reasonably be,,,,,,,,,,,,,,,,,,
Table_10,10,,fulfilled its remit. The Financial Stability Board (FSB) has asked,,,,,,,,,,,,,,,,,
Table_10,10,expected to affect the Company’s prospects. CLP is further,,,,,,,,,,,,,,,,,,
Table_10,10,,the IFRS Foundation to assume responsibility for monitoring,,,,,,,,,,,,,,,,,
Table_10,10,making sustainability a core part of its corporate thinking and,,,,,,,,,,,,,,,,,,
Table_10,10,,companies’ progress in climate-related disclosures.,,,,,,,,,,,,,,,,,
Table_10,10,business strategy by integrating the materiality assessment,,,,,,,,,,,,,,,,,,
Table_11,10,"Reporting scope and 
Reporting frameworks and",,,,,,,,,,,,,,,,,,
Table_11,10,data verification,,,,,,,,,,,,,,,,,,
Table_11,10,Reporting frameworks and,,,,,,,,,,,,,,,,,,
Table_11,10,content indices,,,,,,,,,,,,,,,,,,
Table_11,10,CLP recognises that different methodologies are used globally,,,,,,,,,,,,,,,,,,
Table_11,10,,Download the IFRS S1 General Requirements,,,,,,,,,,,,,,,,,
Table_11,10,to measure the sustainability performance of organisations.,for Disclosure of Sustainability-related Financial,,,,,,,,,,,,,,,,,
Table_11,10,This report references several reporting guidelines and,Information Content Index,,,,,,,,,,,,,,,,,
Table_11,10,"frameworks to ensure comparability, an approach aligned with",,,,,,,,,,,,,,,,,,
Table_11,10,international best practice.,,,,,,,,,,,,,,,,,,
Table_11,10,,Download the SASB Content Index for Electric,,,,,,,,,,,,,,,,,
Table_11,10,,Utilities & Power Generators,,,,,,,,,,,,,,,,,
Table_11,10,The International Sustainability Standards Board,,,,,,,,,,,,,,,,,,
Table_11,10,(ISSB)'s International Financial Reporting Standards,,,,,,,,,,,,,,,,,,
Table_11,10,,The ISSB's IFRS S2 Climate-related Disclosures,,,,,,,,,,,,,,,,,
Table_11,10,(IFRS) S1 General Requirements for Disclosure of,,,,,,,,,,,,,,,,,,
Table_11,10,Sustainability-related Financial Information,,,,,,,,,,,,,,,,,,
Table_11,10,,The ISSB’s new IFRS S2 standards build on existing,,,,,,,,,,,,,,,,,
Table_11,10,,frameworks and incorporate various leading initiatives such,,,,,,,,,,,,,,,,,
Table_11,10,"In June 2022, the investor-focused sustainability disclosure",,,,,,,,,,,,,,,,,,
Table_11,10,,"as Integrated Reporting (IR), the Sustainability Accounting",,,,,,,,,,,,,,,,,
Table_11,10,organisation the Climate Disclosure Standard Board (CDSB),,,,,,,,,,,,,,,,,,
Table_11,10,,"Standards Board (SASB), the Climate Disclosure Standards",,,,,,,,,,,,,,,,,
Table_11,10,and the Value Reporting Foundation (VRF) (created from,,,,,,,,,,,,,,,,,,
Table_11,10,,"Board (CDSB), and the recommendations by the Task Force on",,,,,,,,,,,,,,,,,
Table_11,10,the merger of the International Integrated Reporting Council,,,,,,,,,,,,,,,,,,
Table_11,10,,Climate-Related Financial Disclosures (TCFD).,,,,,,,,,,,,,,,,,
Table_11,10,(IIRC) and the Sustainability Accounting Standards Board,,,,,,,,,,,,,,,,,,
Table_11,10,"(SASB)) were consolidated into the IFRS Foundation, to",,,,,,,,,,,,,,,,,,
Table_11,10,,CLP referenced the ISSB’s Climate-related Disclosures,,,,,,,,,,,,,,,,,
Table_11,10,support the development of new ISSB standards. In June,,,,,,,,,,,,,,,,,,
Table_11,10,,"Prototype in its 2021 Climate-related Disclosures Report, and",,,,,,,,,,,,,,,,,
Table_11,10,"2023, the ISSB under IFRS issued two inaugural Sustainability",,,,,,,,,,,,,,,,,,
Table_11,10,,"the IFRS S2 Exposure Draft in its 2022 edition. In 2023, CLP",,,,,,,,,,,,,,,,,
Table_11,10,"Disclosure Standards, IFRS S1 –General Requirements for",,,,,,,,,,,,,,,,,,
Table_11,10,,has continued to enhance its climate-related disclosures by,,,,,,,,,,,,,,,,,
Table_11,10,"Disclosure of Sustainability-related Financial Information, and",,,,,,,,,,,,,,,,,,
Table_11,10,,making reference to the IFRS S2 standards when describing its,,,,,,,,,,,,,,,,,
